1	abitualmente
1	addietro
15433	allora
1	allora anche
4	allora ancora
5	allora ben
1	allora pressoché
14	allora prima
5	allora quasi
9	alquanto
1	anche stamattina
31	ancor
4	ancor oggi
206	ancora
1	ancora allora
1	ancora forse
3	ancora non
105	ante
75	appena
7	attualmente
1	contemporaneamente
2	contestualmente
2	dapprima
77	domani
76	dopo
1348	già
1	già sempre
1	già sicuro
2	immediatamente
3	improvvisamente
2	infine
6	inizialmente
316	mai
3	mai più
1	mai prima
45524	non
59	non ancora
70	non più
4	non sempre
7	non solo
2	non strettamente
52	oggi
262	ora
40	oramai
1	originariamente
692	ormai
1	perennemente
2	perennemente fuori
11	precedentemente
5866	prima
10	pronto
11026	quasi
1	quasi non
4	quasi sempre
1	raramente
10	recentemente
362	sempre
181	sempre più
10	solitamente
17	sovente
346	spesso
44	subito
2	talora
2	talvolta
1	talvolta ancora
167	tardi
1	tempestivamente
3	temporaneamente
6	tuttora
